Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","KHM","Cambodge","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","1504","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","KHM","Cambodge","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","KHM","Cambodge","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","CMR","Cameroun","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2060.18","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","CMR","Cameroun","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","2615","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","CMR","Cameroun","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","1011.21","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","CMR","Cameroun","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","1760","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","CAN","Canada","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","148484.18","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CAN","Canada","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","459759","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CAN","Canada","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","63545.76","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CAN","Canada","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","139069","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CHL","Chili","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","153699.72","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CHL","Chili","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","320124","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CHL","Chili","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","143670.24","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CHL","Chili","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","526099","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","F351","Chine","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","1757302.49","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","F351","Chine","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","5027424","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","F351","Chine","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","263982.93","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","F351","Chine","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","646026","A","Chiffre officiel",""
