Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","CIV","Côte d'Ivoire","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","9.26","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","HRV","Croatie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3317","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","HRV","Croatie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","71.98","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CUB","Cuba","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3270","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CUB","Cuba","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","112.59","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DNK","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3592","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DNK","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","69.74","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DJI","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2766","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DJI","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","15.15","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DMA","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3013","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DMA","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","174.27","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","EGY","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3116","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","EGY","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","90.78","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","SLV","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2836","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","SLV","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","106.43","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ARE","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3321","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ARE","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","208.4","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ECU","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2549","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ECU","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","108.6","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ESP","Espagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3375","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ESP","Espagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","119.16","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","EST","Estonie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3298","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","EST","Estonie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","94.65","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","SWZ","Eswatini","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2553","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","SWZ","Eswatini","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","23.68","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","USA","États-Unis d'Amérique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3912","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","USA","États-Unis d'Amérique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","198.23","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ETH","Éthiopie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2481","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ETH","Éthiopie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","1.49","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","RUS","Fédération de Russie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3454","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","RUS","Fédération de Russie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","129.38","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","FJI","Fidji","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2949","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","FJI","Fidji","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","141.15","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","FIN","Finlande","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3378","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","FIN","Finlande","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","90.52","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","FRA","France","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3595","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","FRA","France","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","93.48","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","GAB","Gabon","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2552","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","GAB","Gabon","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","143.08","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","GMB","Gambie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2452","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","GMB","Gambie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","76.98","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","GEO","Géorgie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3106","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","GEO","Géorgie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","72.54","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","GHA","Ghana","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3102","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","GHA","Ghana","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","35.96","E","Valeur estimée",""
