"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Estonie [EST]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","2.5103","Ciffre de sources internationales",""
"Estonie [EST]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","28693.269639","Ciffre de sources internationales",""
"Eswatini [SWZ]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-9.495228","Ciffre de sources internationales",""
"Eswatini [SWZ]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","3600.636491","Ciffre de sources internationales",""
"Fidji [FJI]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","15.036645","Ciffre de sources internationales",""
"Fidji [FJI]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","5356.164428","Ciffre de sources internationales",""
"Finlande [FIN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-4.888236","Ciffre de sources internationales",""
"Finlande [FIN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","50988.079784","Ciffre de sources internationales",""
"France [FRA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-6.357007","Ciffre de sources internationales",""
"France [FRA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","42943.861323","Ciffre de sources internationales",""
"Fédération de Russie [RUS]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","22.296417","Ciffre de sources internationales",""
"Fédération de Russie [RUS]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","15481.798989","Ciffre de sources internationales",""
"Gabon [GAB]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-2.411687","Ciffre de sources internationales",""
"Gabon [GAB]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","8427.098986","Ciffre de sources internationales",""
"Gambie [GMB]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","6.254108","Ciffre de sources internationales",""
"Gambie [GMB]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","824.66715","Ciffre de sources internationales",""
"Ghana [GHA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-9.022264","Ciffre de sources internationales",""
