"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Hongrie [HUN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","94.18","Valeur estimée",""
"Inde [IND]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2589","Valeur estimée",""
"Inde [IND]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","13.21","Valeur estimée",""
"Indonésie [IDN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2830","Valeur estimée",""
"Indonésie [IDN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","56.01","Valeur estimée",""
"Iran (République islamique d') [IRN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2879","Valeur estimée",""
"Iran (République islamique d') [IRN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","92.86","Valeur estimée",""
"Iraq [IRQ]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2685","Valeur estimée",""
"Iraq [IRQ]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","62.19","Valeur estimée",""
"Irlande [IRL]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3911","Valeur estimée",""
"Irlande [IRL]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","168.5","Valeur estimée",""
"Islande [ISL]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3677","Valeur estimée",""
"Islande [ISL]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","116.64","Valeur estimée",""
"Israël [ISR]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3923","Valeur estimée",""
