"","","","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]"
"","","","Unité","Valeur","Description du Symbole","Note","Unité","Valeur","Description du Symbole","Note","Unité","Valeur","Description du Symbole","Note"
"Honduras [HND]","Population totale [511]","Population-Estimations [3010]","1000 No","10289.877","Ciffre de sources internationales [X]","","1000 No","10463.872","Ciffre de sources internationales [X]","","1000 No","10644.851","Ciffre de sources internationales [X]",""
"Hongrie [HUN]","Population totale [511]","Population-Estimations [3010]","1000 No","9707.85","Ciffre de sources internationales [X]","","1000 No","9684.306","Ciffre de sources internationales [X]","","1000 No","9686.463","Ciffre de sources internationales [X]",""
"Inde [IND]","Population totale [511]","Population-Estimations [3010]","1000 No","1414203.896","Ciffre de sources internationales [X]","","1000 No","1425423.212","Ciffre de sources internationales [X]","","1000 No","1438069.596","Ciffre de sources internationales [X]",""
"Indonésie [IDN]","Population totale [511]","Population-Estimations [3010]","1000 No","276758.053","Ciffre de sources internationales [X]","","1000 No","278830.529","Ciffre de sources internationales [X]","","1000 No","281190.067","Ciffre de sources internationales [X]",""
"Iran (République islamique d') [IRN]","Population totale [511]","Population-Estimations [3010]","1000 No","88455.488","Ciffre de sources internationales [X]","","1000 No","89524.246","Ciffre de sources internationales [X]","","1000 No","90608.707","Ciffre de sources internationales [X]",""
"Iraq [IRQ]","Population totale [511]","Population-Estimations [3010]","1000 No","43071.211","Ciffre de sources internationales [X]","","1000 No","44070.551","Ciffre de sources internationales [X]","","1000 No","45074.049","Ciffre de sources internationales [X]",""
"Irlande [IRL]","Population totale [511]","Population-Estimations [3010]","1000 No","5028.426","Ciffre de sources internationales [X]","","1000 No","5110.016","Ciffre de sources internationales [X]","","1000 No","5196.63","Ciffre de sources internationales [X]",""
"Islande [ISL]","Population totale [511]","Population-Estimations [3010]","1000 No","372.644","Ciffre de sources internationales [X]","","1000 No","380.356","Ciffre de sources internationales [X]","","1000 No","387.558","Ciffre de sources internationales [X]",""
"Israël [ISR]","Population totale [511]","Population-Estimations [3010]","1000 No","8942.924","Ciffre de sources internationales [X]","","1000 No","9103.151","Ciffre de sources internationales [X]","","1000 No","9256.314","Ciffre de sources internationales [X]",""
"Italie [ITA]","Population totale [511]","Population-Estimations [3010]","1000 No","59729.35","Ciffre de sources internationales [X]","","1000 No","59619.115","Ciffre de sources internationales [X]","","1000 No","59499.453","Ciffre de sources internationales [X]",""
"Jamaïque [JAM]","Population totale [511]","Population-Estimations [3010]","1000 No","2837.682","Ciffre de sources internationales [X]","","1000 No","2839.144","Ciffre de sources internationales [X]","","1000 No","2839.786","Ciffre de sources internationales [X]",""
"Japon [JPN]","Population totale [511]","Population-Estimations [3010]","1000 No","125679.338","Ciffre de sources internationales [X]","","1000 No","124997.578","Ciffre de sources internationales [X]","","1000 No","124370.947","Ciffre de sources internationales [X]",""
"Jordanie [JOR]","Population totale [511]","Population-Estimations [3010]","1000 No","11066.356","Ciffre de sources internationales [X]","","1000 No","11256.263","Ciffre de sources internationales [X]","","1000 No","11439.213","Ciffre de sources internationales [X]",""
"Kazakhstan [KAZ]","Population totale [511]","Population-Estimations [3010]","1000 No","19743.603","Ciffre de sources internationales [X]","","1000 No","20034.609","Ciffre de sources internationales [X]","","1000 No","20330.104","Ciffre de sources internationales [X]",""
"Kenya [KEN]","Population totale [511]","Population-Estimations [3010]","1000 No","53219.166","Ciffre de sources internationales [X]","","1000 No","54252.461","Ciffre de sources internationales [X]","","1000 No","55339.002","Ciffre de sources internationales [X]",""
"Kirghizistan [KGZ]","Population totale [511]","Population-Estimations [3010]","1000 No","6820.479","Ciffre de sources internationales [X]","","1000 No","6955.788","Ciffre de sources internationales [X]","","1000 No","7073.516","Ciffre de sources internationales [X]",""
"Kiribati [KIR]","Population totale [511]","Population-Estimations [3010]","1000 No","128.377","Ciffre de sources internationales [X]","","1000 No","130.469","Ciffre de sources internationales [X]","","1000 No","132.53","Ciffre de sources internationales [X]",""
"Koweït [KWT]","Population totale [511]","Population-Estimations [3010]","1000 No","4360.742","Ciffre de sources internationales [X]","","1000 No","4589.511","Ciffre de sources internationales [X]","","1000 No","4838.782","Ciffre de sources internationales [X]",""
"Lesotho [LSO]","Population totale [511]","Population-Estimations [3010]","1000 No","2261.542","Ciffre de sources internationales [X]","","1000 No","2286.11","Ciffre de sources internationales [X]","","1000 No","2311.472","Ciffre de sources internationales [X]",""
"Lettonie [LVA]","Population totale [511]","Population-Estimations [3010]","1000 No","1885.587","Ciffre de sources internationales [X]","","1000 No","1881.063","Ciffre de sources internationales [X]","","1000 No","1882.396","Ciffre de sources internationales [X]",""
"Liban [LBN]","Population totale [511]","Population-Estimations [3010]","1000 No","5718.122","Ciffre de sources internationales [X]","","1000 No","5744.489","Ciffre de sources internationales [X]","","1000 No","5773.493","Ciffre de sources internationales [X]",""
"Libye [LBY]","Population totale [511]","Population-Estimations [3010]","1000 No","7135.175","Ciffre de sources internationales [X]","","1000 No","7223.805","Ciffre de sources internationales [X]","","1000 No","7305.659","Ciffre de sources internationales [X]",""
"Libéria [LBR]","Population totale [511]","Population-Estimations [3010]","1000 No","5259.323","Ciffre de sources internationales [X]","","1000 No","5373.294","Ciffre de sources internationales [X]","","1000 No","5493.031","Ciffre de sources internationales [X]",""
"Liechtenstein [LIE]","Population totale [511]","Population-Estimations [3010]","1000 No","39.044","Ciffre de sources internationales [X]","","1000 No","39.317","Ciffre de sources internationales [X]","","1000 No","39.598","Ciffre de sources internationales [X]",""
"Lituanie [LTU]","Population totale [511]","Population-Estimations [3010]","1000 No","2794.488","Ciffre de sources internationales [X]","","1000 No","2816.919","Ciffre de sources internationales [X]","","1000 No","2854.099","Ciffre de sources internationales [X]",""
"Luxembourg [LUX]","Population totale [511]","Population-Estimations [3010]","1000 No","640.274","Ciffre de sources internationales [X]","","1000 No","653.313","Ciffre de sources internationales [X]","","1000 No","665.098","Ciffre de sources internationales [X]",""
"Macédoine du Nord [MKD]","Population totale [511]","Population-Estimations [3010]","1000 No","1851.108","Ciffre de sources internationales [X]","","1000 No","1840.233","Ciffre de sources internationales [X]","","1000 No","1831.802","Ciffre de sources internationales [X]",""
"Madagascar [MDG]","Population totale [511]","Population-Estimations [3010]","1000 No","29691.083","Ciffre de sources internationales [X]","","1000 No","30437.26","Ciffre de sources internationales [X]","","1000 No","31195.932","Ciffre de sources internationales [X]",""
"Malaisie [MYS]","Population totale [511]","Population-Estimations [3010]","1000 No","34282.399","Ciffre de sources internationales [X]","","1000 No","34695.493","Ciffre de sources internationales [X]","","1000 No","35126.298","Ciffre de sources internationales [X]",""
"Malawi [MWI]","Population totale [511]","Population-Estimations [3010]","1000 No","20047.258","Ciffre de sources internationales [X]","","1000 No","20568.728","Ciffre de sources internationales [X]","","1000 No","21104.482","Ciffre de sources internationales [X]",""
"Maldives [MDV]","Population totale [511]","Population-Estimations [3010]","1000 No","516.154","Ciffre de sources internationales [X]","","1000 No","524.106","Ciffre de sources internationales [X]","","1000 No","525.994","Ciffre de sources internationales [X]",""
"Mali [MLI]","Population totale [511]","Population-Estimations [3010]","1000 No","22388.63","Ciffre de sources internationales [X]","","1000 No","23072.64","Ciffre de sources internationales [X]","","1000 No","23769.127","Ciffre de sources internationales [X]",""
"Malte [MLT]","Population totale [511]","Population-Estimations [3010]","1000 No","524.376","Ciffre de sources internationales [X]","","1000 No","528.192","Ciffre de sources internationales [X]","","1000 No","532.956","Ciffre de sources internationales [X]",""
"Maroc [MAR]","Population totale [511]","Population-Estimations [3010]","1000 No","36954.442","Ciffre de sources internationales [X]","","1000 No","37329.064","Ciffre de sources internationales [X]","","1000 No","37712.505","Ciffre de sources internationales [X]",""
